year,team,strength_of_schedule
2018,Washington St.,2.2
2018,West Virginia,6.9
2018,Western Ky.,-11.4
2018,Western Mich.,-6.9
2018,Wisconsin,5.6
2018,Wyoming,-4.9
2019,Air Force,-1.8
2019,Akron,-18.7
2019,Alabama,14.4
2019,Appalachian St.,-3
2019,Arizona,1.4
2019,Arizona St.,2.8
2019,Arkansas,-1.6
2019,Arkansas St.,-8.9
2019,Army West Point,-6.9
2019,Auburn,14.6
2019,Ball St.,-7.7
2019,Baylor,6.7
2019,Boise St.,-2.6
2019,Boston College,-1.1
2019,Bowling Green,-17.4
2019,Buffalo,-9.6
2019,BYU,-1.9
2019,California,3.3
2019,Central Mich.,-10.8
2019,Charlotte,-11.3
2019,Cincinnati,2.8
2019,Clemson,15.6
2019,Coastal Carolina,-12.2
2019,Colorado,3.6
2019,Colorado St.,-8.3
2019,Duke,0.7
2019,East Carolina,-10.4
2019,Eastern Mich.,-9.3
2019,FIU,-11
2019,Fla. Atlantic,-3.2
2019,Florida,10.9
2019,Florida St.,1.3
2019,Fresno St.,-6.6
2019,Ga. Southern,-6.7
2019,Georgia,12.7
2019,Georgia St.,-9
2019,Georgia Tech,-2.9
2019,Hawaii,-4.7
2019,Houston,1.9
2019,Idaho,0.7
2019,Illinois,4.9
2019,Indiana,9.2
2019,Iowa,6.5
2019,Iowa St.,-1.8
2019,Kansas,4.1
2019,Kansas St.,-8.8
2019,Kent St.,1.9
2019,Kentucky,-3.8
2019,La.-Monroe,-11
2019,Liberty,-12.3
2019,Louisiana,-1
2019,Louisiana Tech,-12.3
2019,Louisville,2.1
2019,LSU,18.2
2019,Marshall,-6.1
2019,Maryland,2.1
2019,Massachusetts,-23
2019,Memphis,2.6
2019,Miami FL,-0.2
2019,Miami OH,-6.8
2019,Michigan,15.1
2019,Michigan St.,5.8
2019,Middle Tenn.,-8
2019,Minnesota,6.3
2019,Mississippi St.,6.1
2019,Missouri,1.8
2019,Navy,1.9
2019,NC State,-4.6
2019,Nebraska,5
2019,Nevada,-10.7
2019,New Mexico,-11.4
2019,New Mexico St.,-14
2019,North Carolina,2.4
2019,North Texas,-10.7
2019,Northern Ill.,-9.2
2019,Northwestern,3.5
2019,Notre Dame,8.6
2019,Ohio,-9
2019,Ohio St.,19
2019,Oklahoma,9
2019,Oklahoma St.,5.2
2019,Old Dominion,-12.8
2019,Ole Miss,-1
2019,Oregon,9.9
2019,Oregon St.,3.1
2019,Penn St.,12.2
2019,Pittsburgh,-0.4
2019,Purdue,3.2
2019,Rice,-8.9
2019,Rutgers,-4.5
2019,San Diego St.,-8.4
2019,San Jose St.,-8.2
2019,SMU,-0.1
2019,South Alabama,-9.3
2019,South Carolina,8.9
2019,South Fla.,-3.8
2019,Southern California,7.3
2019,Southern Miss.,-6.7
2019,Stanford,4.8
2019,Syracuse,-2.1
2019,TCU,5.1
2019,Temple,-2.9
2019,Tennessee,3.9
2019,Texas,8.3
2019,Texas A&M,10.4
2019,Texas St.,-11
2019,Texas Tech,1.4
2019,Toledo,-10.9
2019,Troy,-10.3
2019,Tulane,1.1
2019,Tulsa,2.5
2019,UAB,-11.6
2019,UCF,0.8
2019,UCLA,3.6
